remind,ids_learn2reg
Case108,0
Case098,1
Case043,2
Case039,3
Case093,4
Case027,5
Case114,6
Case096,7
Case083,8
Case077,9
Case057,10
Case044,11
Case065,12
Case061,13
Case059,14
Case069,15
Case094,16
Case074,17
Case081,18
Case020,19
Case008,20
Case053,21
Case071,22
Case066,23
Case029,24
Case045,25
Case109,26
Case052,27
Case049,28
Case048,29
Case103,30
Case089,31
Case085,32
Case051,33
Case058,34
Case068,35
Case035,36
Case046,37
Case100,38
Case086,39
Case082,40
Case025,41
Case097,42
Case054,43
Case105,44
Case038,45
Case113,46
Case056,47
Case102,48
Case012,49
Case067,50
Case062,51
Case031,52
Case101,53
Case011,54
Case112,55
Case042,56
Case107,57
Case110,58
Case055,59
Case060,60
Case064,61
Case090,62
Case036,63
Case018,64
Case075,65
Case002,66
Case104,67
Case070,68
Case034,69
Case076,70
Case079,71
Case017,72
Case111,73
Case023,74
Case084,75
Case099,76
Case024,77
Case041,78
Case040,79
Case021,80
Case028,81
Case030,82
Case063,83
Case037,84
Case015,85
Case087,86
Case092,87
Case007,88
Case026,89
Case080,90
Case095,91
Case014,92
Case091,93
Case019,94
Case088,95
Case022,96
Case050,97
Case006,98
Case001,99
Case004,100
Case003,101
Case013,102
